,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30
2004/4/1,0.0367,0.0765,0.1478,0.233,0.3203,0.4074,0.4917,0.5813,0.679,0.7922,0.9079,1.026,1.1347,1.2333,1.3225,1.4042,1.4768,1.5423,1.5981,1.6469,1.6884,1.7257,1.7576,1.7857,1.8109,1.8339,1.8549,1.8752,1.8951,1.9166,1.9396,1.9658,1.9944,2.0283,2.0662,2.1075,2.1502,2.1931,2.234,2.2722,2.307,2.3397,2.3692,2.3969,2.4213,2.4443,2.4646,2.4827,2.4986,2.5126,2.5244,2.5344,2.5424,2.5488,2.5533,2.5559,2.5567,2.5559,2.5533
2004/5/1,0.0432,0.0798,0.1433,0.2212,0.3032,0.3877,0.4744,0.5672,0.6683,0.78,0.8956,1.0085,1.1115,1.2054,1.2945,1.3798,1.4624,1.5375,1.6011,1.6528,1.6945,1.7289,1.7576,1.7818,1.8032,1.8235,1.843,1.863,1.8842,1.9073,1.9327,1.9607,1.9917,2.0268,2.0655,2.1071,2.1493,2.1913,2.2302,2.2655,2.2976,2.327,2.3533,2.3773,2.3987,2.4181,2.4355,2.451,2.4645,2.4764,2.4868,2.4959,2.5039,2.5109,2.5169,2.5219,2.5263,2.53,2.5331
2004/6/1,0.0631,0.1143,0.1847,0.2726,0.3667,0.4724,0.5818,0.7011,0.8204,0.951,1.0796,1.2106,1.33,1.4422,1.5433,1.6377,1.7192,1.7943,1.8543,1.9068,1.9477,1.9836,2.0135,2.0395,2.0623,2.0842,2.1049,2.1268,2.1485,2.1726,2.1969,2.2238,2.2517,2.283,2.3158,2.3511,2.3862,2.4223,2.4565,2.4904,2.5208,2.5513,2.5787,2.6056,2.6297,2.6529,2.6737,2.6927,2.7091,2.7239,2.7358,2.746,2.7531,2.7582,2.7605,2.76,2.7566,2.7502,2.7411
2004/7/1,0.0722,0.1266,0.2115,0.3171,0.425,0.5393,0.653,0.7699,0.8909,1.0211,1.1533,1.2842,1.4024,1.5117,1.6122,1.7083,1.7975,1.8779,1.9461,2.0012,2.0449,2.0814,2.112,2.1389,2.1636,2.1888,2.2143,2.2426,2.2718,2.3022,2.3334,2.3651,2.3963,2.4278,2.4584,2.4896,2.5204,2.553,2.586,2.6196,2.6537,2.688,2.7217,2.7553,2.7872,2.8183,2.8474,2.8747,2.8983,2.9196,2.9371,2.9507,2.9601,2.9649,2.9646,2.9587,2.9469,2.9288,2.9045
2004/8/1,0.052,0.0935,0.1568,0.23,0.3122,0.3981,0.4889,0.5834,0.6858,0.7937,0.9085,1.0219,1.1331,1.2376,1.3376,1.428,1.5103,1.5834,1.6464,1.6986,1.743,1.7807,1.8138,1.8425,1.8695,1.8941,1.919,1.944,1.9697,1.9968,2.0257,2.0555,2.0877,2.1213,2.1578,2.1955,2.2346,2.2726,2.3094,2.3439,2.3766,2.4072,2.4364,2.4635,2.4893,2.5133,2.5363,2.5567,2.5762,2.5939,2.6101,2.6249,2.6382,2.6501,2.6607,2.6696,2.6771,2.6831,2.6878
2004/9/1,0.0566,0.0886,0.1365,0.1987,0.2705,0.3494,0.4356,0.5254,0.6206,0.7213,0.8259,0.9299,1.0294,1.1227,1.211,1.2938,1.3725,1.4448,1.5104,1.5661,1.6133,1.6541,1.6901,1.7217,1.7506,1.7776,1.8037,1.8296,1.8559,1.8837,1.9127,1.9431,1.9757,2.0109,2.0491,2.0896,2.1312,2.1728,2.2132,2.2504,2.2846,2.3149,2.3422,2.3669,2.3891,2.4094,2.4281,2.445,2.4608,2.4755,2.4897,2.5033,2.5169,2.5305,2.5444,2.5587,2.5739,2.59,2.6075
2004/10/1,0.0456,0.0733,0.1219,0.1874,0.2648,0.3492,0.4421,0.5374,0.6338,0.7344,0.8333,0.9339,1.0364,1.1381,1.2381,1.3297,1.4153,1.488,1.5549,1.6119,1.6602,1.7029,1.7411,1.7746,1.8055,1.8338,1.8611,1.8874,1.9142,1.9411,1.9688,1.9986,2.0299,2.064,2.1019,2.1424,2.1857,2.23,2.2764,2.3199,2.3641,2.4055,2.4435,2.4788,2.5085,2.5334,2.5524,2.5638,2.5686,2.5688,2.567,2.5657,2.5673,2.5742,2.5884,2.6122,2.6489,2.6998,2.7699
2004/11/1,0.0311,0.0509,0.0987,0.1669,0.246,0.3319,0.4233,0.5169,0.6133,0.711,0.8106,0.9105,1.0108,1.1116,1.2075,1.297,1.3787,1.4523,1.5178,1.5745,1.6236,1.6667,1.7049,1.7387,1.7699,1.7982,1.8249,1.8506,1.8758,1.9016,1.9286,1.957,1.9881,2.0222,2.0603,2.1019,2.1465,2.1922,2.2387,2.2846,2.3294,2.3719,2.4115,2.4469,2.4774,2.5021,2.5202,2.5302,2.5332,2.5319,2.5289,2.5267,2.5278,2.5349,2.5503,2.5762,2.6158,2.6714,2.748
2004/12/1,0.0288,0.049,0.0961,0.1646,0.2466,0.3332,0.4217,0.5108,0.6012,0.6917,0.7854,0.8791,0.977,1.078,1.1794,1.2697,1.3527,1.4246,1.4882,1.5435,1.5917,1.6346,1.673,1.7068,1.7381,1.7667,1.7947,1.8205,1.8465,1.8727,1.8997,1.9276,1.958,1.9906,2.0271,2.0661,2.108,2.1516,2.1965,2.2401,2.2824,2.3227,2.3604,2.3935,2.4223,2.4456,2.4626,2.4719,2.475,2.4744,2.4727,2.4724,2.4758,2.4855,2.504,2.5329,2.5761,2.6349,2.715
2005/1/1,0.0259,0.0401,0.0796,0.1395,0.2126,0.2904,0.3717,0.4543,0.5373,0.6185,0.7005,0.7833,0.8717,0.9646,1.061,1.1501,1.2356,1.3118,1.3793,1.4374,1.487,1.5295,1.5669,1.5994,1.6294,1.6571,1.6844,1.7105,1.738,1.7664,1.7966,1.8285,1.8636,1.9011,1.9428,1.987,2.0342,2.0821,2.1311,2.1783,2.2237,2.2663,2.3055,2.3397,2.3688,2.3911,2.4062,2.4146,2.4188,2.4207,2.4226,2.4263,2.4338,2.4471,2.4684,2.4988,2.5417,2.5979,2.6719
