,1Mo,3Mo,6Mo,1Yr,2Yr,3Yr,5Yr,7Yr,10Yr,20Yr,30Yr
04/01/04,0.95,0.93,1.02,1.23,1.65,2.06,2.87,3.38,3.91,4.77,N/A
05/03/04,0.83,1,1.21,1.6,2.34,2.86,3.63,4.11,4.53,5.3,N/A
06/01/04,0.97,1.17,1.44,1.89,2.6,3.14,3.86,4.31,4.71,5.45,N/A
07/01/04,1.01,1.22,1.64,2.07,2.64,3.08,3.74,4.18,4.57,5.31,N/A
08/02/04,1.28,1.5,1.78,2.12,2.66,3.06,3.68,4.1,4.48,5.22,N/A
09/01/04,1.43,1.58,1.79,1.99,2.41,2.74,3.32,3.76,4.13,4.93,N/A
10/01/04,1.52,1.71,2,2.21,2.63,2.92,3.44,3.85,4.21,4.95,N/A
11/01/04,1.79,1.99,2.2,2.34,2.61,2.89,3.36,3.76,4.11,4.84,N/A
12/01/04,2.06,2.22,2.4,2.6,3.01,3.28,3.72,4.08,4.38,5.04,N/A
01/03/05,1.99,2.32,2.63,2.79,3.1,3.28,3.64,3.94,4.23,4.84,N/A
02/01/05,2.23,2.51,2.77,2.95,3.29,3.43,3.71,3.93,4.15,4.65,N/A
03/01/05,2.55,2.75,3,3.2,3.59,3.76,4.02,4.19,4.38,4.8,N/A
04/01/05,2.66,2.8,3.13,3.34,3.75,3.9,4.13,4.29,4.46,4.85,N/A
05/02/05,2.68,2.93,3.19,3.34,3.64,3.71,3.88,4.02,4.21,4.61,N/A
06/01/05,2.79,2.97,3.12,3.25,3.5,3.55,3.63,3.74,3.91,4.31,N/A
07/01/05,3.02,3.17,3.38,3.51,3.76,3.77,3.84,3.92,4.06,4.37,N/A
08/01/05,3.3,3.48,3.73,3.83,4.04,4.09,4.16,4.22,4.32,4.59,N/A
09/01/05,3.35,3.48,3.62,3.66,3.72,3.8,3.85,3.91,4.02,4.31,N/A
10/03/05,3.22,3.61,4.02,4.09,4.21,4.23,4.25,4.31,4.39,4.67,N/A
11/01/05,3.78,3.96,4.25,4.31,4.42,4.44,4.47,4.51,4.58,4.85,N/A
12/01/05,3.99,3.97,4.32,4.36,4.45,4.44,4.45,4.47,4.52,4.83,N/A
01/03/06,4.05,4.16,4.4,4.38,4.34,4.3,4.3,4.32,4.37,4.62,N/A
02/01/06,4.33,4.47,4.6,4.6,4.59,4.54,4.51,4.52,4.57,4.77,N/A
03/01/06,4.45,4.6,4.75,4.74,4.71,4.68,4.63,4.6,4.59,4.74,4.56
04/03/06,4.66,4.67,4.86,4.86,4.86,4.85,4.85,4.86,4.88,5.08,4.9
05/01/06,4.61,4.82,4.98,4.97,4.94,4.95,4.99,5.04,5.14,5.38,5.23
06/01/06,4.75,4.83,5.06,5.05,5.04,5.02,5.03,5.05,5.11,5.34,5.2
07/03/06,4.69,5.08,5.31,5.26,5.17,5.14,5.11,5.12,5.15,5.33,5.2
