  beta_0     beta_1        beta_2     tau_1
 4.137579 -0.5462290 -5.338013e-04 3.9001095
 4.255298 -0.5983470 -5.988617e-03 3.8943991
 4.238152 -0.5473172 -1.918753e-01 5.8354295
 4.479386 -0.6610248 -3.964802e-01 5.9999835
 4.542635 -0.6169547 -3.083748e-01 6.0000000
 4.541323 -0.6119235 -2.677481e-05 1.4326267
 4.681234 -0.7077876 -1.548722e-04 1.6722064
 4.631093 -0.5280697 -5.786484e-02 5.9995528
 4.825064 -0.9377559 -5.142333e-01 4.1231618
 4.883533 -1.0544968 -5.471152e-01 3.6125535
 4.781831 -0.8552164 -7.735560e-01 3.7679606
 4.988258 -1.0786364 -1.833091e+00 2.9860327
 4.894499 -0.9833797 -8.967596e-01 3.0939716
 4.981369 -1.0581285 -3.319870e+00 2.2649259
 5.131136 -1.0843576 -4.673934e+00 1.9113294
 5.218450 -1.2781252 -2.917061e+00 2.8149749
 5.125361 -1.1553275 -2.105157e+00 2.7237319
 5.340393 -1.3210326 -5.869655e-01 5.8125383
 5.150049 -0.7903290 -2.109355e-01 5.9999833
 5.090404 -0.7977706 -1.209984e+00 3.5108997
 5.001005 -0.6440253 -2.268534e+00 2.6430488
 4.936330 -1.0823473 -2.633134e+00 1.6307215
 5.020221 -2.1094870 -3.584458e+00 1.4121315
 4.450907 -2.4126513 -2.682422e+00 1.5051568
 4.181195 -2.2617333 -3.666800e+00 0.9715389
 4.719452 -3.2779887 -5.551881e+00 0.9051243
 4.832265 -3.8049894 -5.238259e+00 1.1184075
 4.848222 -4.0799457 -4.967490e+00 1.2038957
 4.759934 -3.9855485 -4.639326e+00 1.1717814
 5.286784 -4.3593755 -5.990951e+00 1.0984672
 5.118267 -4.4486689 -5.031569e+00 1.2293807
 5.039707 -4.6316828 -4.639319e+00 1.2205599
